Virginia coal quality database (coal sample analyses) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyses reported:  as-received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  raw data from USGS coal quality database / non-USGS collectors / Virginia scan and subset created 2006-01-18 (Hostettler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version:  release copy / data revised 2008-07-09 (Lovett) / format revised 2008-09-09 (Lovett),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database inventory (all 375 samples accounted for - jal),,U.S. location and geologic setting,,,,"Regional location, coal bed name (in stratigraphic order), geologic formation, and VDMR Id. No. ",,,,,,"USGS Lab. No., location detail, and sample information",,,,,,,,,,,,,,,Proximate Analysis (%),,,,Ultimate Analysis (%),,,,,Heat,,Forms of Sulfur (%),,,,Ash-Fusion Temperature (F),,,,,Major- and Minor-Oxides (%),,,,,,,,,,,,Major- and Minor-Elements (ppm),,,,,,,,,Trace Elements (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS supplemental data,,,
 Sample inventory [jal],Inventory notes (jal),CPROVINC,CREGION,SYSTEM,SER_EPOC,STATE,CFIELD,CBED,CFORMATN,ESTRANK,POINTID [modified to VDMR Id. No.2] ,LABID,USGS Lab No.,POINTID [modified to VDMR Field Id. No.2],LATITUDE1,NS,LONGITUDE1,EW,Quad Map Name,COUNTY,SAMPTHK,COMMENTS [USGS],SAMP_TYPE [VDMR (jal)]2,SAMPTYPE [USGS],SAMP_COND [VDMR (jal)]2,PART_OF_BED [VDMR (jal)]2,MOISTR,VOLMAT,FIXEDC,STDASH,HYDRGN,CARBON,NITRGN,OXYGEN,SULFUR,BTU/LB,ADLOSS,SLFATE,SLFPYR,SLFORG,FRESWL,ASHDEF,ASHSOF,ASHFLD,HGI [VDMR (jal)]2,COMPL_No [VDMR (jal)]2,GSASH,SIO2,AL2O3,CAO,MGO,MNO,NA2O,K2O,FE2O3,TIO2,P2O5,SO3,SI_E,AL_E,CA_E,MG_E,NA_E,K_E,FE_E,TI_E,S_E,AG_E,AS_E,AU_E,B_E,BA_E,BE_E,BI_E,BR_E,CD_E,CE_E,CL_E,CO_E,CR_E,CS_E,CU_E,DY_E,ER_E,EU_E,F_E,GA_E,GD_E,GE_E,HF_E,HG_E,HO_E,IN_E,IR_E,LA_E,LI_E,LU_E,MN_E,MO_E,NB_E,ND_E,NI_E,OS_E,P_E,PB_E,PD_E,PR_E,PT_E,RB_E,RE_E,RH_E,RU_E,SB_E,SC_E,SE_E,SM_E,SN_E,SR_E,TA_E,TB_E,TE_E,TH_E,TL_E,TM_E,U_E,V_E,W_E,Y_E,YB_E,ZN_E,ZR_E,,POINTID [USGS],COLLECTR,SUBDATE,IDMARPLOT       [end]
5 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,TILLER,NORTON,BITUMINOUS,R-6948,W,197306,58B-10,36.986771,N,-82.239366,W,CARBO (7.5'),RUSSELL,37.20,"UG,CLINCHFIELD CC,MOSS #2",Underground mine,1,fresh / unweathered,Full Thickness,1.3,32,60.7,6,5.2,81.7,1.3,5.2,0.5,"14,396",0.3,0,0.03,0.5,8.5,"2,180","2,230","2,330", --- ,0.69,6.3,41,22,7.9,1.5,0.05,0.62,2.6,10,1.2,0.05,9.9,12000,7400,3600,570,290,1300,4500,440,2500,0.006,1.7,0.44,5.9,45,2.5,0.66,45,0.021,11,0,7.4,6.2,0.5,16,0.97,0.44,0.2,60,1.8,0.69,0.22,0.6,0.007,0.3,0.3,0.66,6,11,0.1,29,0.31,0.63,2,4.5,0.97,14,4,0.066,3,0.3,14,0.44,0.097,0.14,0.4,1.5,3.1,1,0.066,130,0.1,0.17,0,1.5,0.14,0.2,1.3,5.7,0.8,4,0.6,2.3,9.4,,R6948-58B-10,VADMR-HENDERSON J A,77/08/16,AAAAAAAAAAAA6016
6 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,TILLER,NORTON,BITUMINOUS,R-8495,W,215450,88C-19,37.065943,N,-82.125474,W,DUTY (7.5'),BUCHANAN,68.40,"UG,LITTLE BENNY COAL CO #1",Underground mine,11,slightly weathered,Full Thickness,1.94,28.48,65.9,3.68,5.06,83.6,1.39,5.71,0.56,"14,795",1.16,0.03,0.04,0.49,7.0,"2,170","2,300","2,420", --- ,0.81,3.7,41,24,6.2,1.7,0.03,0.23,0.93,13,1.6,0.16,7.8,7100,4600,1600,370,63,280,3400,350,1100,0.021,4.7,0.26,3.4,37,5.2,0.26,18,0.03,12,910,1.8,6.8,0.1,11,0.57,0.26,0.29,30,1.8,0.39,1.3,0.5,0.15,0.18,0.18,0.39,5,5.2,0.09,10,0.52,0.67,2.9,3.2,0.57,26,2.2,0.026,1.8,0.12,14,0.26,0.057,0.057,0.4,1.6,2.8,0.9,0.19,78,0.13,0.24,0,1.3,0.12,0.12,0.32,4.4,0.4,3.3,0.7,1.2,6.7,,R8495-88C-19,VADMR-WILKES G P,81/12/01,AAAAAAAAAAAA6018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE-TILLER,NORTON,BITUMINOUS,R-6873,W,193665,88C-4,37.058057,N,-82.140779,W,DUTY (7.5'),DICKENSON,27.12,"UG,CLINCHFIELD CC,MOSS #3",Underground mine,1,fresh / unweathered,Upper Split,3.3,25.6,55.7,15.4,4.6,70.7,1.2,7.2,0.8,"12,511",2.6,0.01,0.17,0.65,8.5,"2,505","2,625","2,730", --- ,1.28,13.9,53,25,2.8,1.4,0.03,0.35,2.7,6.2,1.3,0.05,3.5,34000,18000,2800,1100,360,3100,6000,1100,1900,0.024,12,0.97,12,110,1.3,2.1,18,0.075,25,0,10,20,2.1,18,3.1,0.97,0.43,96,6.7,1.1,1.3,1.1,0.16,0.66,0.66,1.5,13,21,0.15,32,2.1,1.5,4.5,11,0.97,30,7.9,0.15,6.6,0.66,23,0.97,0.097,0.31,0.62,4,1.7,2,0.66,74,0.25,0.31,0,3.3,0.97,0.45,1.9,24,0.58,5.3,0.85,22,15,,R6873-88C-4,VADMR-HENDERSON J A,76/09/08,AAAAAAAAAAAA5762
2 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE-TILLER,NORTON,BITUMINOUS,R-6874,W,193666,88C-5,37.058057,N,-82.140779,W,DUTY (7.5'),DICKENSON,27.00,"UG,CLINCHFIELD CC,MOSS #3",Underground mine,1,fresh / unweathered,Middle Split,1.7,23.2,45.8,29.3,4,59.1,1,6.1,0.6,"10,389",1,0.01,0.03,0.51,5.5,"2,770","2,800","2,800", --- ,1.15,28.3,52,30,3,0.68,0.02,0.3,3.5,2.9,1.8,0.15,1.6,69000,44000,6100,1200,620,8200,5700,3000,1800,0.037,1.3,2,28,180,2.4,4.3,18,0.057,58,0,11,47,2.5,31,6.3,2,0.9,170,13,2.4,0.91,2.8,0.04,1.3,1.3,3,33,57,0.36,48,1.3,3.1,14,18,2,190,14,0.3,13,1.3,44,2,0.2,0.63,0.71,9.8,3.4,4.8,1.3,99,0.69,0.71,0,10,2,0.91,3.6,42,1.4,12,2.1,13,37,,R6874-88C-5,VADMR-HENDERSON J A,76/09/08,AAAAAAAAAAAA5764
3 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE-TILLER,NORTON,BITUMINOUS,R-6875,W,200130,88C-6,37.058057,N,-82.140779,W,DUTY (7.5'),DICKENSON,60.12,"UG,CLINCHFIELD CC,MOSS #3",Underground mine,1,fresh / unweathered,Lower Split,1.9,26.4,58.7,13,4.7,75.4,1.3,5.2,0.5,"13,216",1.4,0,0.05,0.44,8.5,"2,220","2,300","2,385", --- ,0.76,9.3,47,16,11,0.98,0.05,0.24,1.7,7,0.91,0.1,7.4,21000,8000,7600,550,170,1300,4500,510,2700,0.006,1.9,0.65,9,55,1.6,0.98,27,0.041,14,900,4.5,8,0.5,13,2,1.4,0.29,2100,2.6,1.9,0.098,0.7,0.007,0.44,0.44,0.98,8,7.3,0.13,36,1.1,1.8,5.5,9.3,1.4,41,3.1,0.098,4.4,0.44,9,0.65,0.14,0.21,0.33,1.9,2.5,1.5,0.098,170,0.18,0.27,0,1.8,0.21,0.3,0,11,1.4,10,0.7,3.5,40,,R6875-88C-6,VADMR-HENDERSON J A,78/08/18,AAAAAAAAAAAA5763
4 / 62,4 / 6 (no analyses found),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE-TILLER,NORTON,BITUMINOUS,R-6943,W,197307,88C-8,37.075000,N,-82.167222,W,DUTY (7.5'),DICKENSON,30.00,"UG, MINE / COMPANY NAME ?",Underground mine,1,fresh,Lower Split,2.2,16.5,32.7,48.6,2.8,41.8,0.8,5.7,0.4,"7,120",1.1,0,0.04,0.34,1.5,"2,768","2,822","2,912", --- ,1.12,51.8,60,25,2.1,1.2, --- ,0.31,3.5,2.8,1.7,0.091,0.98,140000,69000,7800,3800,1200,15000,10000,5400, --- ,0.088,3.1, --- ,43,310,4.1, --- ,13,0.12,88,B,10,67,5.8,41,11L,5.2L,1.3,350,17,5.7,0.78L,5.0,0.01, --- , --- , --- ,47,180,0.6,73,1.6,12,44,26, --- ,210,21, --- , --- , --- ,77, --- , --- , --- ,1.0,14,3.5,6.9,3.5,250,1.0,1.1, --- ,14,1.7L, --- ,5.6,78,1.9,31,3.6,39,98,,,,,
5 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE-TILLER,NORTON,BITUMINOUS,R-6944,W,197308,88C-9,37.075039,N,-82.167262,W,DUTY (7.5'),DICKENSON,26.64,"UG,CLINCHFIELD CC,MOSS #3-A",Underground mine,1,fresh / unweathered,Upper Split,2.6,24.9,63.1,9.4,4.7,78.4,1.5,5.2,0.7,"13,591",1.6,0.01,0.07,0.64,9.0,"2,300","2,350","2,530", --- ,1.03,8.6,43,23,8.9,1.7,0.03,0.31,1.6,8.2,1.2,0.07,5.8,17000,10000,5500,860,200,1200,4900,620,2000,0.006,11,0.6,4,71,1.4,0.9,22,0.024,15,0,9.1,11,0.9,14,1.3,0.6,0.27,14,3.3,1.3,0.34,0.6,0.01,0.41,0.41,0.9,8,9.5,0.11,24,1.3,1.7,4.3,8.6,1.3,26,4,0.09,4.1,0.41,14,0.6,0.13,0.19,0.4,2.7,1.4,1.4,0.19,140,0.14,0.22,0,2,0.35,0.28,1.9,11,0.4,6.2,0.6,5.1,20,,R6944-88C-9,VADMR-HENDERSON J A,77/08/16,AAAAAAAAAAAA5766
6 / 6,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE-TILLER,NORTON,BITUMINOUS,R-7861,W,211169,88C-13,37.073594,N,-82.162828,W,DUTY (7.5'),DICKENSON,15.60,"UG,CLINCHFIELD CC,MOSS #3A-2",Underground mine,11,slightly weathered,Lower Split,1.76,23.43,56.54,18.27,4.4,69.99,1.2,5.54,0.6,"12,218",0.89,0.03,0.04,0.53,9.0,"2,600","2,680","2,750", --- ,0.98,21.5,52,28,5.5,0.86,0.01,0.16,2.2,2.5,1.9,0.38,1.7,52000,32000,8500,1100,260,4000,3700,2400,1500,0.041,1.5,1.5,15,130,1.8,1.5,19,0.03,49,490,17,47,1.4,26,3.3,1.5,0.86,170,8.6,2.3,0.75,1.7,0.12,1,1,2.3,26,26,0.27,24,2.2,7.3,12,28,3.3,350,12,0.15,10,0.69,35,1.5,0.33,0.33,0.7,7,5.1,3.4,2.6,260,0.59,0.9,0,7.4,0.69,0.69,3,39,0.8,15,1.7,17,71,,R7861-88C-13,VADMR-WILKES G P,80/08/20,AAAAAAAAAAAA5765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6864,W,192707,88C-3,37.017033,N,-82.165039,W,DUTY (7.5'),RUSSELL,77.76,"UG,HURRICANE CREEK MINE",Underground mine,1,fresh / unweathered,Full Thickness,2.6,22.6,45.2,29.6,4,58.2,1.2,6.5,0.5,"10,194",1.7,0,0.1,0.3,5.0,"2,710","2,780","2,800", --- ,0.98,28.6,57,23,3.6,0.23,0.01,0.34,3.4,4,1.4,0.11,2.2,77000,35000,7400,400,720,8100,8000,2400,2500,0.04,3.3,2,37,250,2.3,4.4,9,0.08,36,0,5.1,31,2.6,23,6.4,2,0.54,150,10,2.4,1.5,2,0.04,1.4,1.4,3,20,51,0.22,37,1.1,8.3,21,12,2,140,10,0.3,14,1.4,48,2,0.2,0.64,0.44,6.9,2.7,2.6,4,160,0.52,0.42,0,6.5,2,0.92,2,43,0.63,14,1.3,13,74,,R6864-88C-3,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA5773
2 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6869,W,192708,58B-2,36.961489,N,-82.245324,W,CARBO (7.5'),RUSSELL,49.20,"UG,CHANEY CREEK MINE",Underground mine,1,fresh / unweathered,Full Thickness,1.2,31.3,53.7,13.8,4.7,72.7,1.4,6.8,0.6,"12,846",0.4,0,0,0.5,5.0,"2,215","2,345","2,410", --- ,0.93,13.8,38,18,15,1.8,0.06,0.89,0.91,5.7,1.4,0.08,8.8,25000,13000,15000,1500,910,1000,5500,1200,4900,0.009,2.8,0.97,39,150,1.4,2.1,11,0.028,22,0,7.6,14,0.6,21,3.1,0.97,0.32,54,3.9,1.9,0.44,1.1,0.055,0.66,0.66,1.4,13,22,0.11,69,1.3,5.4,9.1,7,0.97,48,5.7,0.14,6.6,0.66,17,0.97,0.097,0.31,0.37,3,2.8,1.5,1.1,580,0.27,0.19,0,3.8,0.97,0.44,1.3,15,0.58,8.6,0.7,2.9,47,,R6869-58B-2,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA5770
3 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6870,W,192706,58B-3,36.981516,N,-82.206938,W,CARBO (7.5'),RUSSELL,40.56,"UG,WILDER MINE",Underground mine,1,fresh / unweathered,Full Thickness,1.6,28.1,54.2,16.1,4.6,71.3,1.3,6.1,0.6,"12,502",0.9,0,0,0.5,6.5,"2,415","2,555","2,605", --- ,0.96,17.6,46,18,13,0.8,0.07,0.18,1.4,4.6,1.7,0.12,5.4,38000,17000,16000,840,230,2100,5700,1800,3800,0.012,2.7,1.2,18,140,2.1,2.7,21,0.063,28,0,6.4,22,1.3,21,3.9,1.2,0.39,66,5.5,3,1.1,1.5,0.016,0.84,0.84,1.8,17,28,0.16,100,1.5,8.8,15,10,1.2,92,7.7,0.18,8.4,0.84,19,1.2,0.12,0.39,0.58,4.5,2.7,1.9,2.3,190,0.43,0.3,0,5.8,1.2,0.57,2,25,0.53,14,0.9,3.5,110,,R6870-58B-3,VADMR-HENDERSON J A,76/07/16,AAAAAAAAAAAA5771
4 / 103,4 / 10 (see 11 - average of 4 + 5 + 6),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6917,W,195445,58B-4,36.992354,N,-82.162726,W,CARBO (7.5'),RUSSELL,21.72,"ST,STERLING MINING CO",Surface mine,11,slightly weathered,Bench Sample,2.35,29.6,50.48,17.55,4.68,68.86,1.26,6.85,0.75,"12,159",1.45,0,0.15,0.58,6.1,"2,502","2,583","2,645", --- , --- ,18.25,45,21,9.6,1.1,0.11,0.19,2.1,5.8,1.4,0.15,3.5,39000,21000,13000,1200,250,3200,7400,1500,2600,0.013,14,1.3,7.7,80,1.3,1.9,9,0.063,31,0,7.1,23,1.5,24,2.8,1.3,0.48,110,4.1,1.7,0.26,1.5,0.19,0.87,0.87,1.9,18,23,0.2,160,0.96,1.2,7.7,8.4,2.8,120,8.8,0.19,8.7,0.87,31,1.3,0.28,0.41,0.68,4.9,2.5,2.7,0.95,120,0.43,0.36,0,5.2,0.41,0.59,2.3,16,0.61,4.7,1.1,8.8,17,,W195445-7,VADMR-HENDERSON J A,77/03/31,AAAAAAAAAAAA5772
5 / 103,5 / 10 (see 11 - average of 4 + 5 + 6),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6918,W,195446,58B-5,36.992354,N,-82.162726,W,CARBO (7.5'),RUSSELL,10.80,"ST,STERLING MINING CO",Surface mine,11,slightly weathered,Bench Sample,2.35,29.6,50.48,17.55,4.68,68.86,1.26,6.85,0.75,"12,159",1.45,0,0.15,0.58,6.1,"2,502","2,583","2,645", --- , --- ,18.25,45,21,9.6,1.1,0.11,0.19,2.1,5.8,1.4,0.15,3.5,39000,21000,13000,1200,250,3200,7400,1500,2600,0.013,14,1.3,7.7,80,1.3,1.9,9,0.063,31,0,7.1,23,1.5,24,2.8,1.3,0.48,110,4.1,1.7,0.26,1.5,0.19,0.87,0.87,1.9,18,23,0.2,160,0.96,1.2,7.7,8.4,2.8,120,8.8,0.19,8.7,0.87,31,1.3,0.28,0.41,0.68,4.9,2.5,2.7,0.95,120,0.43,0.36,0,5.2,0.41,0.59,2.3,16,0.61,4.7,1.1,8.8,17,,W195445-7,VADMR-HENDERSON J A,77/03/31,AAAAAAAAAAAA5772
6 / 103,6 / 10 (see 11 - average of 4 + 5 + 6),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6919,W,195447,58B-6,36.992354,N,-82.162726,W,CARBO (7.5'),RUSSELL,30.00,"ST,STERLING MINING CO",Surface mine,11,slightly weathered,Bench Sample,2.35,29.6,50.48,17.55,4.68,68.86,1.26,6.85,0.75,"12,159",1.45,0,0.15,0.58,6.1,"2,502","2,583","2,645", --- , --- ,18.25,45,21,9.6,1.1,0.11,0.19,2.1,5.8,1.4,0.15,3.5,39000,21000,13000,1200,250,3200,7400,1500,2600,0.013,14,1.3,7.7,80,1.3,1.9,9,0.063,31,0,7.1,23,1.5,24,2.8,1.3,0.48,110,4.1,1.7,0.26,1.5,0.19,0.87,0.87,1.9,18,23,0.2,160,0.96,1.2,7.7,8.4,2.8,120,8.8,0.19,8.7,0.87,31,1.3,0.28,0.41,0.68,4.9,2.5,2.7,0.95,120,0.43,0.36,0,5.2,0.41,0.59,2.3,16,0.61,4.7,1.1,8.8,17,,W195445-7,VADMR-HENDERSON J A,77/03/31,AAAAAAAAAAAA5772
7 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-6922,W,195440,88C-7,37.085818,N,-82.219096,W,DUTY (7.5'),DICKENSON,29.52,PROSPECT PIT,Surface mine,1,weathered,Full Thickness,2.5,18.7,47.9,30.9,3.8,57.7,1,5.8,0.8,"10,069",1.5,0.01,0.36,0.43,7.5,"2,800","2,800","2,800", --- ,1.59,30.5,63,26,0.56,0.75,0,0.19,2.8,3,2.6,0.19,0.49,89000,41000,1200,1400,430,7100,6400,4700,600,0.021,15,2.1,13,140,2.7,3.2,34,0.046,60,0,10,53,3.8,31,4.7,2.1,0.71,160,8.5,1.5,0.55,4,0.1,1.5,1.5,3.2,38,79,0.38,17,0.47,9.4,15,13,4.7,250,17,0.32,15,1.5,75,2.1,0.47,0.68,1.1,10,4.3,4.3,1.8,95,1.1,0.62,0,13,0.68,0.98,3.8,31,1.9,8.2,2.3,16,61,,R6922-88C-7,VADMR-HENDERSON J A,77/03/31,AAAAAAAAAAAA5776
8 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-7356,W,204159,88C-10,37.051278,N,-82.155691,W,DUTY (7.5'),DICKENSON,59.88,"ST,SPLASH DAM MINE",Surface mine,1,fresh / unweathered,Full Thickness,4,25.6,57,13.4,4.8,72.1,1.4,7.7,0.6,"12,739",3.4,0.01,0.12,0.46,8.0,"2,800","2,800","2,800", --- ,0.94,14.1,58,26,0.9,0.73,0,0.81,1.8,3.2,2.1,0.3,1,38000,19000,900,620,850,2100,3100,1800,560,0.025,2.4,0.99,17,160,1.4,1.5,13,0.071,32,420,4.7,24,1,20,2.2,0.99,0.46,260,6.2,1.5,0.15,1.6,0.03,0.67,0.67,1.5,19,28,0.2,9,1.3,4.2,17,12,2.2,180,10,0.15,6.7,0.67,22,0.99,0.22,0.32,0.4,4.8,1,2.6,1.2,160,0.38,0.35,0,5.1,0.32,0.45,1.6,25,0.65,9,1.1,6.3,25,,R7356-88C-10,VADMR-HENDERSON J A,78/11/24,AAAAAAAAAAAA5774
9 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-7864,W,211171,88C-15,37.081173,N,-82.225351,W,DUTY (7.5'),DICKENSON,33.00,"UG,MCCLURE RIVER COAL CO #2",Underground mine,1,fresh / unweathered,Full Thickness,1.54,19.75,53.63,25.08,3.99,64.17,1.06,5.15,0.55,"11,197",0.65,0.05,0.1,0.4,7.5,"2,760","2,800","2,800", --- ,0.89,28.7,58,28,0.56,0.93,0,0.22,3.4,3.3,2.3,0.24,0.93,78000,43000,1100,1600,460,8000,6700,3900,1100,0.04,11,2,25,180,2.4,2,28,0.086,45,530,6.9,43,3,29,4.4,2,0.61,210,11,3,1,2.2,0.41,1.4,1.4,3,27,37,0.28,15,0.57,9.2,19,13,4.4,300,15,0.2,14,0.92,38,2,0.44,0.44,1,9.1,4.8,2.9,2.5,180,0.87,0.72,0,9.2,0.92,0.92,3,49,1,13,1.7,32,80,,R7864-88C-15,VADMR-WILKES G P,80/08/20,AAAAAAAAAAAA5775
10 / 10,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,R-8821,W,238940,59B-11,36.918139,N,-82.393856,W,COEBURN (7.5'),WISE,27.60,"ST,C-K COAL CO",Surface mine,1,fresh / unweathered,Full Thickness,2.37,30.95,49.08,17.6,4.74,67.19,1.2,7.34,1.93,"12,034",1.07,0.06,1.27,0.6,3.5,"2,590","2,690","2,800",42,3.16,18.8,51,28,1.4,0.66,0.01,0.18,1,12,2.1,0.18,2.6,45000,28000,1800,750,240,1600,16000,2400,1900,0.075,22,0.89,38,110,3,2.9,7.4,0.075,40,180,8,27,0.69,41,0.94,0.61,0.61,60,9.2,1.7,1.8,1.9,0.19,0.2,0.29,1.3,27,49,0.17,16,3.6,8.5,30,18,1.3,150,11,0.089,3.4,0.2,19,1.3,0.2,0.061,0.68,7.2,4.5,3.4,3.2,150,0.67,0.36,0,6.7,1.3,0.42,2.9,36,1.2,16,1.4,5.6,71,,R8821-59B-11,VADMR-WILKES G P,86/12/02,AAAAAAAAAAAA5769
113,11 (average of 4 + 5 + 6),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,LOWER,VIRGINIA,SOUTHWEST VIRGINIA,JAWBONE,NORTON,BITUMINOUS,W195445-7,W,AVE 3,W195445-7,36.992354,N,-82.162726,W,CARBO (7.5'),RUSSELL,62.52,"ST,STERLING MINING CO",[Surface mine],11,[slightly weathered],[Average of 3 Bench Samples],2.35,29.6,50.48,17.55,4.68,68.86,1.26,6.85,0.75,"12,159",1.45,0,0.15,0.58,6.1,"2,502","2,583","2,645", [---] , [---] ,18.25,45,21,9.6,1.1,0.11,0.19,2.1,5.8,1.4,0.15,3.5,39000,21000,13000,1200,250,3200,7400,1500,2600,0.013,14,1.3,7.7,80,1.3,1.9,9,0.063,31,0,7.1,23,1.5,24,2.8,1.3,0.48,110,4.1,1.7,0.26,1.5,0.19,0.87,0.87,1.9,18,23,0.2,160,0.96,1.2,7.7,8.4,2.8,120,8.8,0.19,8.7,0.87,31,1.3,0.28,0.41,0.68,4.9,2.5,2.7,0.95,120,0.43,0.36,0,5.2,0.41,0.59,2.3,16,0.61,4.7,1.1,8.8,17,,W195445-7,VADMR-HENDERSON J A,77/03/31,AAAAAAAAAAAA5772
